X,Y,sumo_time
"[19.1512902  30.66999372 33.85319697 18.86152453 18.25533214 11.17938789
 10.68834258 31.34137937  5.96554352 34.80400402  6.73433447 32.37329027
 31.85395915 23.25921838 28.18165874 30.4265282  16.96362894  6.53539927
 11.38382367 30.16079996 34.90904051  6.71203666 11.99139555 24.21643866
 10.51195945 14.23215485 31.84674244]",29165071.0,77.4207021
"[ 7.39484249 10.63687559  5.1069129  27.41286891 23.77709681 19.32551571
 24.6522096   6.84525384 21.59807794 19.07438694 12.45945066  9.2240206
 23.49520556 22.13841779  8.63759773 22.25014471 30.52197153  8.48023622
 23.83094733 28.84500944 24.45388896 12.74425894 26.1676655  31.45411957
 25.83166999 31.66315423 20.05879179]",26930626.0,84.58112080000001
"[10.6651647  25.80779481 22.74780636 15.57285446 21.46817746 25.69186811
 29.87084864 21.77474566 23.83065821  9.24907276 19.68347124 20.40416124
 11.46159443 29.90303373 25.35690075 25.93825967 24.07797206 24.10699166
  6.35901921 33.87849813 12.80058202 21.06788945 24.53334475 20.76771864
 13.68014588 21.11622521 24.30305205]",13161388.0,100.65410069999999
"[24.05948144 33.17387082 27.34327235  9.17096526 33.0369055  33.91122144
 33.87352942 13.10362384 34.51309587  7.54628224 15.83027532 17.29521066
 16.82397675 16.47076813 33.37984507 12.97212126 28.49652062 22.94940423
 14.75565888 19.86337842 28.69101337 18.88440276 18.36645447 33.14253687
 27.72225536 18.36746382 32.06770133]",14823192.0,98.2351969
"[27.32326222 17.26335887 18.09912825 30.71338534 15.0191844  29.71026095
 15.71845041 26.13258823 29.62477729 11.84991683 31.92875068 15.99287084
 26.55593012 18.9109692  12.51937757 27.18832443 21.54255071 11.14824819
  9.96560908  7.89580507 19.90281272 31.99847782 21.28184002 16.64458679
 34.1417351  13.67016852 26.05116852]",35954392.0,106.77706749999999
"[10.6651647  32.90833461 22.61895854 15.57285446 30.47948182 25.69186811
 31.77378487 21.77474566 26.69772809  9.80444565 30.66126764 14.47007805
 28.00436437 29.90303373 25.35690075 26.32666758 13.67006361 24.16810527
 15.34615239 28.58024247 16.78710053 21.37183076 25.06679475 13.26503263
 21.97398484 21.11622521 27.54970803]",9230210.0,98.44736610000001
"[10.6651647  18.55922813 21.21427607 19.88811105 21.46817746 16.9712257
 28.07991366 25.13928771 23.83065821  8.76636773 31.25424147 31.48663878
 18.76404434  7.09959365 26.92591786 34.5644167  24.07797206 24.25365802
  7.46606698 33.97979236 10.69911275 21.06788945  6.80176944 20.76771864
 13.68014588 18.84232685 24.30305205]",83214656.0,107.78331349999996
"[10.6651647  19.35263429 21.20677195 15.57285446 12.67255813 25.69186811
 27.40429916 21.77474566 16.38779108  9.24907276 14.02135611 20.40416124
 30.50263107 29.90303373 31.30570948 25.93825967  6.83911003 24.12448192
 13.14690702 17.53216566 16.87751387 25.02176711 11.93852603 29.41046026
 24.2477513  21.11622521 24.30305205]",58897628.0,68.16334909999989
"[10.6651647  26.2343233  21.60659642 15.57285446 11.30403385 31.24007592
 28.32142555 21.77474566 30.75468092 10.19466862 19.68347124 20.40416124
  9.67453375 14.30300325 26.94015503 26.82535822 24.07797206 23.69721881
  6.35901921 18.46997971 18.92698221 21.5657922  16.86478734 26.73787938
  7.94371292 23.81666347 24.7944849 ]",21416262.0,68.78898450000008
"[18.78988573 30.34919419 22.74780636 12.78174413  5.07116241 25.69186811
 26.2330378  16.70338094 23.69510418 11.15086183 26.08212352 20.40416124
 11.46159443 31.76104128 27.38834679 13.68554441  5.26480086 24.30828822
 10.44367965 28.36652423 17.92814604 16.99449858 22.7819711  18.61686817
  6.3771009  25.43692091 19.85892993]",89861255.0,76.70185150000009
